 avg (temperature), max (temperature), min (temperature), avg (humidity), max (humidity), min (humidity), power, label
14.95,19.7,11.0,50.96,77,35,204.76,0
11.33,14.1,8.7,82.26,95,67,155.79,0
10.51,15.2,8.6,80.04,92,49,168.24,0
12.37,18.5,7.4,68.91,96,46,90.49,0
14.07,19.8,8.4,57.96,86,30,182.17,0
13.68,15.8,11.4,80.39,100,56,194.89,0
14.13,18.2,10.5,65.13,95,33,169.1,0
15.59,22.7,7.9,47.65,76,29,220.64,0
14.67,16.9,11.2,59.13,93,42,122.83,0
14.28,20.5,8.9,66.3,84,37,171.73,0
15.82,21.6,10.1,51.09,85,26,170.09,0
13.35,14.5,11.8,67.78,76,62,177.93,0
18.29,25.5,9.6,51.17,86,29,258.65,0
21.91,27.4,16.9,37.48,55,28,173.25,0
22.89,29.5,16.6,53.57,70,38,160.61,0
24.1,30.6,18.0,59.87,81,36,177.16,0
22.06,26.0,20.8,78.09,96,58,195.57,0
18.77,20.7,15.2,97.43,99,95,198.41,0
15.3,16.5,14.2,92.74,96,86,187.29,0
17.97,24.2,13.7,73.39,97,46,220.05,0
19.74,26.4,12.5,52.22,78,33,144.66,0
19.06,22.9,16.1,56.57,83,43,210.26,0
15.98,17.9,14.3,86.43,94,75,242.81,0
18.7,23.7,13.8,70.04,93,44,112.47,0
19.6,24.8,14.4,65.0,87,49,283.64,0
19.6,24.3,16.4,58.83,81,30,110.64,0
15.6,19.1,11.9,70.65,94,39,184.1,0
17.83,22.9,11.6,60.17,90,32,199.91,0
16.05,18.4,14.0,81.7,97,62,192.56,0
15.13,19.7,12.5,86.74,98,68,180.53,0
15.65,18.9,13.3,78.43,91,62,168.62,0
18.26,26.2,10.9,71.91,96,40,173.79,0
19.78,23.5,16.6,79.7,97,64,190.92,0
20.32,23.7,16.1,74.96,90,60,177.46,0
23.18,29.5,16.6,64.78,92,39,219.69,1
19.63,22.6,14.9,80.61,95,61,179.87,0
18.28,23.1,13.4,69.87,96,40,196.94,0
20.81,25.4,17.1,66.83,82,50,249.04,0
22.9,27.9,18.6,70.17,88,50,152.52,0
21.14,23.6,19.5,71.48,81,61,184.29,0
23.56,29.4,18.8,69.39,85,44,199.95,0
25.73,31.4,19.6,59.0,83,38,181.67,0
25.32,29.5,22.2,65.13,82,45,207.61,0
21.58,24.3,20.0,84.09,96,71,148.16,0
24.05,30.0,18.2,74.83,96,52,148.72,0
24.99,29.3,21.0,72.3,90,55,207.85,1
24.74,30.1,19.0,69.83,88,51,152.62,0
22.61,25.2,21.5,79.57,91,70,213.73,0
24.5,28.7,20.3,60.09,76,47,242.69,0
21.9,24.8,19.6,70.22,85,61,139.79,0
20.07,21.3,19.0,91.48,98,84,240.42,0
22.4,27.2,17.5,73.52,94,51,156.0,0
23.0,28.8,17.7,72.87,89,49,147.33,0
23.59,28.4,19.3,67.83,91,46,225.75,0
23.24,28.1,19.7,65.74,80,42,191.0,0
22.27,27.8,18.8,70.61,81,50,147.98,0
22.98,27.9,18.5,71.78,89,54,142.08,0
24.15,29.1,19.5,67.96,86,49,157.97,0
22.89,26.5,19.9,78.57,91,65,125.06,0
24.3,30.6,19.8,72.57,92,45,200.64,1
23.66,28.2,21.0,77.0,88,61,196.54,0
23.89,27.9,21.3,78.74,88,59,179.53,0
24.22,28.6,21.1,79.04,94,57,159.61,0
